ID_DatMuon;ID_NguoiMuon;TenNguoiMuon;DonVi;SDT;Email;ID_PhP;Ten_PhP;CoSo;TenDvuKem;ID_Ca;NgayDK;NgaySD;ID_NguoiQL;status
22;2312345678;Trinh Van Son;Quan he quoc te;914567890;2312345678@hcmussh.edu.vn;102;B4-404;TD;;2;4/26/2023;4/27/2023;1;Tu choi
23;2323456789;Doan Thi Thanh;Ngu van Y;925678901;2323456789@hcmussh.edu.vn;150;D-404;DTH;Laptop;1;11/28/2022;12/06/2022;2;Da hoan thanh
24;2334567890;Mai Van Thanh;Ngu van Nga;936789012;2334567890@hcmussh.edu.vn;3;Hoi truong Tong Hop;TD;Treo bandroll, Man hinh Led, May chieu;1;5/26/2024;06/12/2024;1;Da duyet
25;2345678901;Phung Thi Thao;Giao duc;947890123;2345678901@hcmussh.edu.vn;98;B4-304;TD;;3;4/29/2024;5/19/2024;3;Tu choi
26;2356789012;Truong Van Thien;Ngu van Trung Quoc;958901234;2356789012@hcmussh.edu.vn;32;A1-302;TD;May chieu;2;02/10/2024;2/20/2024;4;Tu choi
27;2367890123;Vo Thi Thu;Dia ly;969012345;2367890123@hcmussh.edu.vn;34;A1-304;TD;Treo bandroll;1;10/07/2023;10/26/2023;5;Da hoan thanh
28;2378901234;Ha Van Toan;Ngu van Phap;970123456;2378901234@hcmussh.edu.vn;72;B1-102;TD;Ban khung phong;3;5/27/2023;06/11/2023;1;Da duyet
29;2389012345;Phi Thi Trang;Ngon ngu hoc;981234567;2389012345@hcmussh.edu.vn;58;C2-104;TD;;1;06/01/2024;06/12/2024;2;Dang dat
30;2390123456;Chu Minh Tuan;Dong phuong hoc;992345678;2390123456@hcmussh.edu.vn;93;B4-203;TD;Laptop;2;9/18/2023;10/01/2023;3;Da hoan thanh
31;2401234567;Lam Thi Tuyet;Do thi hoc;904567890;2401234567@hcmussh.edu.vn;64;C2-302;TD;May chieu, Laptop;2;7/24/2023;08/04/2023;4;Tu choi
32;2412345678;Thai Van Binh;Tam ly hoc;915678901;2412345678@hcmussh.edu.vn;26;A1-104;TD;May chieu, Laptop;3;6/16/2023;6/29/2023;5;Da hoan thanh
33;2423456789;Do Thi Cam;Van hoc;926789012;2423456789@hcmussh.edu.vn;88;B4-102;TD;;3;5/13/2024;06/01/2024;5;Da checkin
34;2434567890;Nguyen Van Chien;Nhat Ban hoc;937890123;2434567890@hcmussh.edu.vn;104;B-102;DTH;;2;04/03/2023;4/20/2023;1;Tu choi
35;2445678901;Tran Thi Dieu;Xa hoi hoc;948901234;2445678901@hcmussh.edu.vn;141;D-203;DTH;May chieu;2;01/05/2023;1/15/2023;3;Dang dat
36;2456789012;Le Van Dong;Triet hoc;959012345;2456789012@hcmussh.edu.vn;12;A-202;TD;;1;12/26/2023;01/05/2024;4;Da duyet
37;2467890123;Pham Thi Giang;Han quoc hoc;960123456;2467890123@hcmussh.edu.vn;71;B1-101;TD;Laptop;2;2/20/2024;2/23/2024;2;Tu choi
38;2478901234;Hoang Van Ha;Cong tac xa hoi;971234567;2478901234@hcmussh.edu.vn;22;A-404;TD;;1;10/03/2023;10/20/2023;3;Da hoan thanh
39;2489012345;Bui Thi Hien;Luu tru hoc – Quan tri van phong;982343576;2489012345@hcmussh.edu.vn;102;B4-404;TD;;1;09/06/2023;9/18/2023;4;Da hoan thanh
40;2490123456;Dang Van Hieu;Viet Nam hoc;993456789;2490123456@hcmussh.edu.vn;3;Hoi truong Tong Hop;TD;Man hinh Led, May chieu;1;1/25/2023;02/06/2023;5;Tu choi
41;2501234567;Phan Thi Hoa;Bao chi va Truyen thong;905678901;2501234567@hcmussh.edu.vn;12;A-202;TD;Treo bandroll;3;06/01/2024;6/26/2024;5;Da duyet
42;2512345678;Vu Thi Hue;Thu vien – Thong tin hoc;916789012;2512345678@hcmussh.edu.vn;34;A1-304;TD;;2;12/28/2023;01/10/2024;1;Tu choi
43;2523456789;Do Minh Hung;Van hoa hoc;927890123;2523456789@hcmussh.edu.vn;78;B1-204;TD;;1;11/25/2023;12/08/2023;2;Da hoan thanh
44;2534567890;Ngo Thi Khanh;Nhan hoc;938901234;2534567890@hcmussh.edu.vn;9;A-103;TD;Ban backdrop, Laptop;1;10/18/2023;10/27/2023;1;Da hoan thanh
45;2545678901;Duong Van Kien;Ngu van Y;949012345;2545678901@hcmussh.edu.vn;33;A1-303;TD;;3;3/24/2024;3/30/2024;3;Tu choi
46;2556789012;Ly Thi Lan;Ngu van Tay Ban Nha;950123456;2556789012@hcmussh.edu.vn;151;Phong hop - PH101;TD;May chieu, Man hinh Led;3;01/06/2024;1/22/2024;4;Tu choi
47;2567890123;To Van Loi;Ngu van Nga;961234567;2567890123@hcmussh.edu.vn;75;B1-201;TD;;1;8/18/2023;8/20/2023;5;Da hoan thanh
48;2578901234;Ta Thi Lua;Quan he quoc te;972345678;2578901234@hcmussh.edu.vn;1;Hoi truong Van Khoa;DTH;Laptop, Man hinh Led, Treo bandroll;2;03/08/2023;3/14/2023;1;Da hoan thanh
49;2589012345;Cao Van Manh;Lich su;983456789;2589012345@hcmussh.edu.vn;134;C-404;DTH;Treo bandroll;1;12/12/2023;12/28/2023;2;Da hoan thanh
50;2590123456;Vuong Thi My;Ngu van Phap;994567890;2590123456@hcmussh.edu.vn;44;C1-202;TD;Ban khung phong;2;12/13/2023;01/02/2024;3;Da hoan thanh
